,for_summing_by_experiments,RefID,PDF_retrieved,Reviewer,Approach_goal,Continent,Country_Province,Climate,study_location,Water_body,Primary_Threat_Identity,Salt_Iontype_Conductivity,State_Region,Physiographic_region,paper_focal_taxa,Taxonomic_classification,Specific_taxa,Level_ecological_organization,specific_response_metric,X20,Broader_response_categories,direction_effect,mean_control,mean_treatment,Life_stage,Units_response,background_concentration,Minimum_concentration_original,Maximum_concentration_original,Units_salt_concentration_original,Acute_Chronic,Duration_exposure,stats_direction_effect,Statistical_Analysis,mean_control_1,mean_treatment_1,Beta_estimate,standard_deviation,lower_CI,upper_CI,standard_error_beta,Correlation_Regression,p_values,Raw_values_response,Rate of change in salt (if applicaple),"Timing of exposure (e.g., season (winter, summer...), continuous)",Frequency_of_exposure,number_treatments_categories,number_replicates,number_per_replicate,Temperature,Notes on effect,Take home point,Author,Year,Paper Title,Journal,Extra notes,DataID,Measurement,SaltUnits,Min_Conductivity_uScm,Max_Conductivity_uScm,Min_Concentration_ppm,Max_Concentration_ppm
79,1,339,Yes,Sally,lab study toxicity test using a mayfly exposed to different ion combinatins,North Amercia,United States,temperate,Lab,beaker,multiple: anthropogenic,KCL,NR,NR,Insect,Insect,Neocleon triangulifer,population,LC 50,toxicological,Effect concentration,NA,not provided,not provided,nymphs,mg anion / L,NA,10,93,mg/L CaCO3,acute,4,NA,Spearman-Karber method,not provided,not provided,NA,NA,1043,1441,not provided,not provided,<0.05,1226,NA,NA,steady,1,Not specified,Not specified,24.6-25.4,KCL,"he mayﬂy was particularly sensitive to Na2SO4, with the median lethal concentration (LC50) of 1338 mg SO4/L being lower than LC50s reported for 7 other species at that hardness. Increasing hardness of the dilution water from 30 to 150 mg/L (as CaCO3) resulted in doubling of LC50s for sodium salts, and an approximately 1.5-fold increase in LC50 for MgSO4.",Soucek et al,2018,"NA
",Environmental Toxicology,low na (duluth 100),3388,KCl,mg/L,NA,NA,10,93
80,1,339,Yes,Sally,lab study toxicity test using a mayfly exposed to different ion combinatins,North Amercia,United States,temperate,Lab,beaker,multiple: anthropogenic,KCl,NR,NR,Insect,Insect,Neocleon triangulifer,population,LC 50,toxicological,Effect concentration,NA,not provided,not provided,nymphs,mg anion / L,NA,10,92,mg/L CaCO3,acute,4,NA,Spearman-Karber method,not provided,not provided,NA,NA,984,1516,not provided,not provided,<0.05,1221,NA,NA,steady,1,Not specified,Not specified,24.6-25.4,KCl,"he mayﬂy was particularly sensitive to Na2SO4, with the median lethal concentration (LC50) of 1338 mg SO4/L being lower than LC50s reported for 7 other species at that hardness. Increasing hardness of the dilution water from 30 to 150 mg/L (as CaCO3) resulted in doubling of LC50s for sodium salts, and an approximately 1.5-fold increase in LC50 for MgSO4.",Soucek et al,2018,"NA
",Environmental Toxicology,high na,3389,KCl,mg/L,NA,NA,10,92
81,1,339,Yes,Sally,lab study toxicity test using a mayfly exposed to different ion combinatins,North Amercia,United States,temperate,Lab,beaker,multiple: anthropogenic,K2SO4,NR,NR,Insect,Insect,Neocleon triangulifer,population,LC 50,toxicological,Effect concentration,NA,not provided,not provided,nymphs,mg cation / L,NA,10,30,mg/L CaCO3,acute,4,NA,Spearman-Karber method,not provided,not provided,NA,NA,887,1166,not provided,not provided,<0.05,821,NA,NA,steady,1,Not specified,Not specified,24.6-25.4,K2SO4,"he mayﬂy was particularly sensitive to Na2SO4, with the median lethal concentration (LC50) of 1338 mg SO4/L being lower than LC50s reported for 7 other species at that hardness. Increasing hardness of the dilution water from 30 to 150 mg/L (as CaCO3) resulted in doubling of LC50s for sodium salts, and an approximately 1.5-fold increase in LC50 for MgSO4.",Soucek et al,2018,"NA
",Environmental Toxicology,recon 30,3401,K2SO4,mg/L,NA,NA,20,60
82,1,339,Yes,Sally,lab study toxicity test using a mayfly exposed to different ion combinatins,North Amercia,United States,temperate,Lab,beaker,multiple: anthropogenic,K2SO4,NR,NR,Insect,Insect,Neocleon triangulifer,population,LC 50,toxicological,Effect concentration,NA,not provided,not provided,nymphs,mg cation / L,NA,10,87,mg/L CaCO3,acute,4,NA,Spearman-Karber method,not provided,not provided,NA,NA,918,1248,not provided,not provided,<0.05,854,NA,NA,steady,1,Not specified,Not specified,24.6-25.4,K2SO4,"he mayﬂy was particularly sensitive to Na2SO4, with the median lethal concentration (LC50) of 1338 mg SO4/L being lower than LC50s reported for 7 other species at that hardness. Increasing hardness of the dilution water from 30 to 150 mg/L (as CaCO3) resulted in doubling of LC50s for sodium salts, and an approximately 1.5-fold increase in LC50 for MgSO4.",Soucek et al,2018,"NA
",Environmental Toxicology,recon 90,3402,K2SO4,mg/L,NA,NA,20,174
83,1,339,Yes,Sally,lab study toxicity test using a mayfly exposed to different ion combinatins,North Amercia,United States,temperate,Lab,beaker,multiple: anthropogenic,K2SO4,NR,NR,Insect,Insect,Neocleon triangulifer,population,LC 50,toxicological,Effect concentration,NA,not provided,not provided,nymphs,mg cation / L,NA,10,141,mg/L CaCO3,acute,4,NA,Spearman-Karber method,not provided,not provided,NA,NA,857,1224,not provided,not provided,<0.05,803,NA,NA,steady,1,Not specified,Not specified,24.6-25.4,K2SO4,"he mayﬂy was particularly sensitive to Na2SO4, with the median lethal concentration (LC50) of 1338 mg SO4/L being lower than LC50s reported for 7 other species at that hardness. Increasing hardness of the dilution water from 30 to 150 mg/L (as CaCO3) resulted in doubling of LC50s for sodium salts, and an approximately 1.5-fold increase in LC50 for MgSO4.",Soucek et al,2018,"NA
",Environmental Toxicology,recon 150,3403,K2SO4,mg/L,NA,NA,20,282
84,1,339,Yes,Sally,lab study toxicity test using a mayfly exposed to different ion combinatins,North Amercia,United States,temperate,Lab,beaker,multiple: anthropogenic,K2SO4,NR,NR,Insect,Insect,Neocleon triangulifer,population,LC 50,toxicological,Effect concentration,NA,not provided,not provided,nymphs,mg cation / L,NA,10,205,mg/L CaCO3,acute,4,NA,Spearman-Karber method,not provided,not provided,NA,NA,1580,2069,not provided,not provided,<0.05,1418,NA,NA,steady,1,Not specified,Not specified,24.6-25.4,K2SO4,"he mayﬂy was particularly sensitive to Na2SO4, with the median lethal concentration (LC50) of 1338 mg SO4/L being lower than LC50s reported for 7 other species at that hardness. Increasing hardness of the dilution water from 30 to 150 mg/L (as CaCO3) resulted in doubling of LC50s for sodium salts, and an approximately 1.5-fold increase in LC50 for MgSO4.",Soucek et al,2018,"NA
",Environmental Toxicology,recon 210,3404,K2SO4,mg/L,NA,NA,20,410
85,1,339,Yes,Sally,lab study toxicity test using a mayfly exposed to different ion combinatins,North Amercia,United States,temperate,Lab,beaker,multiple: anthropogenic,K2SO4,NR,NR,Insect,Insect,Neocleon triangulifer,population,LC 50,toxicological,Effect concentration,NA,not provided,not provided,nymphs,mg cation / L,NA,10,212,mg/L CaCO3,acute,4,NA,Spearman-Karber method,not provided,not provided,NA,NA,1107,1437,not provided,not provided,<0.05,973,NA,NA,steady,1,Not specified,Not specified,24.6-25.4,K2SO4,"he mayﬂy was particularly sensitive to Na2SO4, with the median lethal concentration (LC50) of 1338 mg SO4/L being lower than LC50s reported for 7 other species at that hardness. Increasing hardness of the dilution water from 30 to 150 mg/L (as CaCO3) resulted in doubling of LC50s for sodium salts, and an approximately 1.5-fold increase in LC50 for MgSO4.",Soucek et al,2018,"NA
",Environmental Toxicology,recon 210,3405,K2SO4,mg/L,NA,NA,20,424
86,1,339,Yes,Sally,lab study toxicity test using a mayfly exposed to different ion combinatins,North Amercia,United States,temperate,Lab,beaker,multiple: anthropogenic,K2SO4,NR,NR,Insect,Insect,Neocleon triangulifer,population,LC 50,toxicological,Effect concentration,NA,not provided,not provided,nymphs,mg cation / L,NA,10,95,mg/L CaCO3,acute,4,NA,Spearman-Karber method,not provided,not provided,NA,NA,789,1312,not provided,not provided,<0.05,785,NA,NA,steady,1,Not specified,Not specified,24.6-25.4,K2SO4,"he mayﬂy was particularly sensitive to Na2SO4, with the median lethal concentration (LC50) of 1338 mg SO4/L being lower than LC50s reported for 7 other species at that hardness. Increasing hardness of the dilution water from 30 to 150 mg/L (as CaCO3) resulted in doubling of LC50s for sodium salts, and an approximately 1.5-fold increase in LC50 for MgSO4.",Soucek et al,2018,"NA
",Environmental Toxicology,low ca:mg,3414,K2SO4,mg/L,NA,NA,20,190
87,1,339,Yes,Sally,lab study toxicity test using a mayfly exposed to different ion combinatins,North Amercia,United States,temperate,Lab,beaker,multiple: anthropogenic,K2SO4,NR,NR,Insect,Insect,Neocleon triangulifer,population,LC 50,toxicological,Effect concentration,NA,not provided,not provided,nymphs,mg cation / L,NA,10,93,mg/L CaCO3,acute,4,NA,Spearman-Karber method,not provided,not provided,NA,NA,1062,1275,not provided,not provided,<0.05,904,NA,NA,steady,1,Not specified,Not specified,24.6-25.4,K2SO4,"he mayﬂy was particularly sensitive to Na2SO4, with the median lethal concentration (LC50) of 1338 mg SO4/L being lower than LC50s reported for 7 other species at that hardness. Increasing hardness of the dilution water from 30 to 150 mg/L (as CaCO3) resulted in doubling of LC50s for sodium salts, and an approximately 1.5-fold increase in LC50 for MgSO4.",Soucek et al,2018,"NA
",Environmental Toxicology,high ca:mg,3415,K2SO4,mg/L,NA,NA,20,186
88,1,339,Yes,Sally,lab study toxicity test using a mayfly exposed to different ion combinatins,North Amercia,United States,temperate,Lab,beaker,multiple: anthropogenic,KCL,NR,NR,Insect,Insect,Neocleon triangulifer,population,LC 50,toxicological,Effect concentration,NA,not provided,not provided,nymphs,mg cation / L,NA,10,93,mg/L CaCO3,acute,4,NA,Spearman-Karber method,not provided,not provided,NA,NA,1043,1441,not provided,not provided,<0.05,1326,NA,NA,steady,1,Not specified,Not specified,24.6-25.4,KCL,"he mayﬂy was particularly sensitive to Na2SO4, with the median lethal concentration (LC50) of 1338 mg SO4/L being lower than LC50s reported for 7 other species at that hardness. Increasing hardness of the dilution water from 30 to 150 mg/L (as CaCO3) resulted in doubling of LC50s for sodium salts, and an approximately 1.5-fold increase in LC50 for MgSO4.",Soucek et al,2018,"NA
",Environmental Toxicology,low na (duluth 100),3418,KCl,mg/L,NA,NA,10,93
89,1,339,Yes,Sally,lab study toxicity test using a mayfly exposed to different ion combinatins,North Amercia,United States,temperate,Lab,beaker,multiple: anthropogenic,KCl,NR,NR,Insect,Insect,Neocleon triangulifer,population,LC 50,toxicological,Effect concentration,NA,not provided,not provided,nymphs,mg cation / L,NA,10,92,mg/L CaCO3,acute,4,NA,Spearman-Karber method,not provided,not provided,NA,NA,984,1516,not provided,not provided,<0.05,1123,NA,NA,steady,1,Not specified,Not specified,24.6-25.4,KCl,"he mayﬂy was particularly sensitive to Na2SO4, with the median lethal concentration (LC50) of 1338 mg SO4/L being lower than LC50s reported for 7 other species at that hardness. Increasing hardness of the dilution water from 30 to 150 mg/L (as CaCO3) resulted in doubling of LC50s for sodium salts, and an approximately 1.5-fold increase in LC50 for MgSO4.",Soucek et al,2018,"NA
",Environmental Toxicology,high na,3419,KCl,mg/L,NA,NA,10,92
6,1,102,Yes,Carl,"Effects of various factors (inc. KCl, NaCl) on motility of zebra mussel sperm",North Amercia,United States,temperate,Lab,aquaria,Tolerance,KCl,Lake Erie,Lake Erie,Mollusk,Mollusca,Dreissena polymorpha,individual,Duration of motility,reproduciton,Reproduction/Recruitment,negative,250,25,spermatazoa,seconds,NA,10,50,mM,chronic,0.004,negative,ANOVA/Tukey,250,25,NA,Varies (approx 20-40 sec),NA,NA,NA,NA,NA,250 s motility duration @10mM. 65 s motility duration @25mM. 30 s motility duration @50mM,NA,NA,constant,4,NA,1,Not stated,NA,sperm duration of motility responds negatively to salinity,"A. Ciereszko, K. Dabrowski, B. Piros, M. Kwasnik and J. Glogowski",2001,"Characterization of zebra mussel (Dreissena polymorpha) sperm motility: duration of movement, effects of cations, pH and gossypol",Hydrobiologia,All values visually estimated from bar charts,847,KCl,mmol/L,NA,NA,745.5,3727.5
7,1,102,Yes,Carl,"Effects of various factors (inc. KCl, NaCl) on motility of zebra mussel sperm",North Amercia,United States,temperate,Lab,aquaria,Tolerance,KCl,Lake Erie,Lake Erie,Mollusk,Mollusca,Dreissena polymorpha,individual,motility,reproduciton,Reproduction/Recruitment,negative,80,10,spermatazoa,% of spermatazoa exhibiting motility,NA,0,50,mM,chronic,0.0138889,negative,ANOVA/Tukey,80,10,NA,Varies (approx 10%),NA,NA,NA,NA,NA,75% motility @ 10mM; 13% motility @25 mM; 5% motility @ 50mM,NA,NA,constant,4,NA,1,Not stated,NA,sperm motility responds negatively to salinity,"A. Ciereszko, K. Dabrowski, B. Piros, M. Kwasnik and J. Glogowski",2001,"Characterization of zebra mussel (Dreissena polymorpha) sperm motility: duration of movement, effects of cations, pH and gossypol",Hydrobiologia,All values visually estimated from bar charts,849,KCl,mmol/L,NA,NA,0,3727.5
10,1,199,Yes,Carl,Investigate response by 4 bivalves (3 native + zebra mussel) to water K levels,Eurasia,Russia,temperate (cold),Lab,aquaria,invasiveness/osmoregulation,potassium,Yaroslavl Oblast,Rybinsk Reservoir,Mollusk,Mollusca,Unio tumidus,Individual,Muscle concentrations Ca,body tissue diagnostics,Body condition/Diagnostics,humped,16.7,11,Adult,mmol/kg wet weight,0.13,0.13,2.2,mmol K/L,chronic,14,humped,ANOVA,16.7,11,NA,NA,NA,NA,NA,NA,NA,Raising water K+ from 0.13 to 0.9 mmol/L caused muscle Ca to increase from 16.7 to 20.3 mmol/kg. Raising K+ still further to 2.2 mmol/L caused muscle Ca to decrease to 11 mmol/kg,NA,NA,constant,3,1,8,20,Muscle concentrations did not differ statistically among treatment levels (p<0.05),"In comparison to aboriginal species, D. polymorpha is more sensitive to the environmental potassium concentration",V. I. Martemyanov,2011,"INFLUENCE OF ENVIRONMENT MINERAL COMPOSITION ON THE INDICES OF WATER-SALT METABOLISM IN ESTABLISHED IN RYBINSK RESERVOIR, DREISSENA POLYMORPHA",Russian Journal of Biological Invasions,NA,1457,K+,mmol/L,NA,NA,5.0817,85.998
11,1,199,Yes,Carl,Investigate response by 4 bivalves (3 native + zebra mussel) to water K levels,Eurasia,Russia,temperate (cold),Lab,aquaria,invasiveness/osmoregulation,potassium,Yaroslavl Oblast,Rybinsk Reservoir,Mollusk,Mollusca,Unio pictorum,Individual,Muscle concentrations Mg,body tissue diagnostics,Body condition/Diagnostics,humped,28.9,26.3,Adult,mmol/kg wet weight,0.13,0.13,2.2,mmol K/L,chronic,14,humped,ANOVA,28.9,26.3,NA,NA,NA,NA,NA,NA,NA,Raising water K+ from 0.13 to 0.9 mmol/L caused muscle Mg to decrease from 31.9 to 22.2 mmol/kg. Raising K+ still further to 2.2 mmol/L caused muscle Mg to increase to 40.7 mmol/kg,NA,NA,constant,3,1,8,20,Muscle concentrations did not differ statistically among treatment levels (p<0.05),"In comparison to aboriginal species, D. polymorpha is more sensitive to the environmental potassium concentration",V. I. Martemyanov,2011,"INFLUENCE OF ENVIRONMENT MINERAL COMPOSITION ON THE INDICES OF WATER-SALT METABOLISM IN ESTABLISHED IN RYBINSK RESERVOIR, DREISSENA POLYMORPHA",Russian Journal of Biological Invasions,NA,1458,K+,mmol/L,NA,NA,5.0817,85.998
12,1,199,Yes,Carl,Investigate response by 4 bivalves (3 native + zebra mussel) to water K levels,Eurasia,Russia,temperate (cold),Lab,aquaria,invasiveness/osmoregulation,potassium,Yaroslavl Oblast,Rybinsk Reservoir,Mollusk,Mollusca,Unio tumidus,Individual,Muscle concentrations Mg,body tissue diagnostics,Body condition/Diagnostics,humped,31.9,40.7,Adult,mmol/kg wet weight,0.13,0.13,2.2,mmol K/L,chronic,14,humped,ANOVA,31.9,40.7,NA,NA,NA,NA,NA,NA,NA,Raising water K+ from 0.13 to 0.9 mmol/L caused muscle Mg to decrease from 31.9 to 22.2 mmol/kg. Raising K+ still further to 2.2 mmol/L caused muscle Mg to increase to 40.7 mmol/kg,NA,NA,constant,3,1,8,20,Muscle concentrations did not differ statistically among treatment levels (p<0.05),"In comparison to aboriginal species, D. polymorpha is more sensitive to the environmental potassium concentration",V. I. Martemyanov,2011,"INFLUENCE OF ENVIRONMENT MINERAL COMPOSITION ON THE INDICES OF WATER-SALT METABOLISM IN ESTABLISHED IN RYBINSK RESERVOIR, DREISSENA POLYMORPHA",Russian Journal of Biological Invasions,NA,1459,K+,mmol/L,NA,NA,5.0817,85.998
13,1,199,Yes,Carl,Investigate response by 4 bivalves (3 native + zebra mussel) to water K levels,Eurasia,Russia,temperate (cold),Lab,aquaria,invasiveness/osmoregulation,potassium,Yaroslavl Oblast,Rybinsk Reservoir,Mollusk,Mollusca,Anodonta piscinalis,Individual,Muscle concentrations Na,body tissue diagnostics,Body condition/Diagnostics,humped,17,13.9,Adult,mmol/kg wet weight,0.13,0.13,2.2,mmol K/L,chronic,14,humped,ANOVA,17,13.9,NA,NA,NA,NA,NA,NA,NA,Raising water K+ from 0.13 to 0.9 mmol/L caused muscle Na to increase from 12.8 to 16.8 mmol/kg. Raising K+ still further to 2.2 mmol/L caused muscle Na to decrease to 12.1 mmol/kg,NA,NA,constant,3,1,8,20,Muscle concentrations did not differ statistically among treatment levels (p<0.05),"In comparison to aboriginal species, D. polymorpha is more sensitive to the environmental potassium concentration",V. I. Martemyanov,2011,"INFLUENCE OF ENVIRONMENT MINERAL COMPOSITION ON THE INDICES OF WATER-SALT METABOLISM IN ESTABLISHED IN RYBINSK RESERVOIR, DREISSENA POLYMORPHA",Russian Journal of Biological Invasions,NA,1460,K+,mmol/L,NA,NA,5.0817,85.998
14,1,199,Yes,Carl,Investigate response by 4 bivalves (3 native + zebra mussel) to water K levels,Eurasia,Russia,temperate (cold),Lab,aquaria,invasiveness/osmoregulation,potassium,Yaroslavl Oblast,Rybinsk Reservoir,Mollusk,Mollusca,Unio pictorum,Individual,Muscle concentrations Na,body tissue diagnostics,Body condition/Diagnostics,humped,12.8,12.1,Adult,mmol/kg wet weight,0.13,0.13,2.2,mmol K/L,chronic,14,humped,ANOVA,12.8,12.1,NA,NA,NA,NA,NA,NA,NA,Raising water K+ from 0.13 to 0.9 mmol/L caused muscle Na to increase from 13.1 to 14.3 mmol/kg. Raising K+ still further to 2.2 mmol/L caused muscle Na to increase further to 18.3 mmol/kg,NA,NA,constant,3,1,8,20,Muscle concentrations did not differ statistically among treatment levels (p<0.05),"In comparison to aboriginal species, D. polymorpha is more sensitive to the environmental potassium concentration",V. I. Martemyanov,2011,"INFLUENCE OF ENVIRONMENT MINERAL COMPOSITION ON THE INDICES OF WATER-SALT METABOLISM IN ESTABLISHED IN RYBINSK RESERVOIR, DREISSENA POLYMORPHA",Russian Journal of Biological Invasions,NA,1461,K+,mmol/L,NA,NA,5.0817,85.998
15,1,199,Yes,Carl,Investigate response by 4 bivalves (3 native + zebra mussel) to water K levels,Eurasia,Russia,temperate (cold),Lab,aquaria,invasiveness/osmoregulation,potassium,Yaroslavl Oblast,Rybinsk Reservoir,Mollusk,Mollusca,Dreissena polymorpha,Individual,Muscle concentrations Ca,body tissue diagnostics,Body condition/Diagnostics,no effect,10.2,10.7,Adult,mmol/kg wet weight,0.13,0.13,2.2,mmol K/L,chronic,14,no effect,ANOVA,10.2,10.7,NA,NA,NA,NA,NA,NA,NA,Raising water K+ from 0.13 to 0.9 mmol/L caused muscle Ca to increase from 17 to 17.4 mmol/kg. Raising K+ still further to 2.2 mmol/L caused muscle Ca to decrease to 12.1 mmol/kg,NA,NA,constant,3,1,8,20,Muscle concentrations did not differ statistically among treatment levels (p<0.05),"In comparison to aboriginal species, D. polymorpha is more sensitive to the environmental potassium concentration",V. I. Martemyanov,2011,"INFLUENCE OF ENVIRONMENT MINERAL COMPOSITION ON THE INDICES OF WATER-SALT METABOLISM IN ESTABLISHED IN RYBINSK RESERVOIR, DREISSENA POLYMORPHA",Russian Journal of Biological Invasions,NA,1462,K+,mmol/L,NA,NA,5.0817,85.998
16,1,199,Yes,Carl,Investigate response by 4 bivalves (3 native + zebra mussel) to water K levels,Eurasia,Russia,temperate (cold),Lab,aquaria,invasiveness/osmoregulation,potassium,Yaroslavl Oblast,Rybinsk Reservoir,Mollusk,Mollusca,Anodonta piscinalis,Individual,Muscle concentrations Ca,body tissue diagnostics,Body condition/Diagnostics,who knows (negative),17,12.1,Adult,mmol/kg wet weight,0.13,0.13,2.2,mmol K/L,chronic,14,negative,ANOVA,17,12.1,NA,NA,NA,NA,NA,NA,NA,Raising water K+ from 0.13 to 0.9 mmol/L caused muscle Ca to increase from 16.2 to 17.6 mmol/kg. Raising K+ still further to 2.2 mmol/L caused muscle Ca to increase further to 18.5 mmol/kg,NA,NA,constant,3,1,8,20,Muscle concentrations did not differ statistically among treatment levels (p<0.05),"In comparison to aboriginal species, D. polymorpha is more sensitive to the environmental potassium concentration",V. I. Martemyanov,2011,"INFLUENCE OF ENVIRONMENT MINERAL COMPOSITION ON THE INDICES OF WATER-SALT METABOLISM IN ESTABLISHED IN RYBINSK RESERVOIR, DREISSENA POLYMORPHA",Russian Journal of Biological Invasions,NA,1463,K+,mmol/L,NA,NA,5.0817,85.998
17,1,199,Yes,Carl,Investigate response by 4 bivalves (3 native + zebra mussel) to water K levels,Eurasia,Russia,temperate (cold),Lab,aquaria,invasiveness/osmoregulation,potassium,Yaroslavl Oblast,Rybinsk Reservoir,Mollusk,Mollusca,Dreissena polymorpha,Individual,Muscle concentrations Mg,body tissue diagnostics,Body condition/Diagnostics,who knows (negative),7.6,4.2,Adult,mmol/kg wet weight,0.13,0.13,2.2,mmol K/L,chronic,14,negative,ANOVA,7.6,4.2,NA,NA,NA,NA,NA,NA,NA,Raising water K+ from 0.13 to 0.9 mmol/L caused muscle Mg to increase from 13.8 to 21.7 mmol/kg. Raising K+ still further to 2.2 mmol/L caused muscle Mg to decrease (slight) to 20.6 mmol/kg,NA,NA,constant,3,1,8,20,Muscle concentrations did not differ statistically among treatment levels (p<0.05),"In comparison to aboriginal species, D. polymorpha is more sensitive to the environmental potassium concentration",V. I. Martemyanov,2011,"INFLUENCE OF ENVIRONMENT MINERAL COMPOSITION ON THE INDICES OF WATER-SALT METABOLISM IN ESTABLISHED IN RYBINSK RESERVOIR, DREISSENA POLYMORPHA",Russian Journal of Biological Invasions,NA,1465,K+,mmol/L,NA,NA,5.0817,85.998
18,1,199,Yes,Carl,Investigate response by 4 bivalves (3 native + zebra mussel) to water K levels,Eurasia,Russia,temperate (cold),Lab,aquaria,invasiveness/osmoregulation,potassium,Yaroslavl Oblast,Rybinsk Reservoir,Mollusk,Mollusca,Dreissena polymorpha,Individual,Muscle concentrations Na,body tissue diagnostics,Body condition/Diagnostics,who knows (negative),18,14.7,Adult,mmol/kg wet weight,0.13,0.13,2.2,mmol K/L,chronic,14,negative,ANOVA,18,14.7,NA,NA,NA,NA,NA,NA,NA,Raising water K+ from 0.13 to 0.9 mmol/L caused muscle Na to change from 17 to 17.9 mmol/kg. Raising K+ still further to 2.2 mmol/L caused muscle Na to decrease to 13.9 mmol/kg,NA,NA,constant,3,1,8,20,Muscle concentrations did not differ statistically among treatment levels (p<0.05),"In comparison to aboriginal species, D. polymorpha is more sensitive to the environmental potassium concentration",V. I. Martemyanov,2011,"INFLUENCE OF ENVIRONMENT MINERAL COMPOSITION ON THE INDICES OF WATER-SALT METABOLISM IN ESTABLISHED IN RYBINSK RESERVOIR, DREISSENA POLYMORPHA",Russian Journal of Biological Invasions,NA,1466,K+,mmol/L,NA,NA,5.0817,85.998
19,1,199,Yes,Carl,Investigate response by 4 bivalves (3 native + zebra mussel) to water K levels,Eurasia,Russia,temperate (cold),Lab,aquaria,invasiveness/osmoregulation,potassium,Yaroslavl Oblast,Rybinsk Reservoir,Mollusk,Mollusca,Unio pictorum,Individual,Muscle concentrations Ca,body tissue diagnostics,Body condition/Diagnostics,who knows (positive),16.2,18.5,Adult,mmol/kg wet weight,0.13,0.13,2.2,mmol K/L,chronic,14,positive,ANOVA,16.2,18.5,NA,NA,NA,NA,NA,NA,NA,Raising water K+ from 0.13 to 0.9 mmol/L caused muscle Ca to increase from 16.7 to 20.3 mmol/kg. Raising K+ still further to 2.2 mmol/L caused muscle Ca to decrease to 11 mmol/kg,NA,NA,constant,3,1,8,20,Muscle concentrations did not differ statistically among treatment levels (p<0.05),"In comparison to aboriginal species, D. polymorpha is more sensitive to the environmental potassium concentration",V. I. Martemyanov,2011,"INFLUENCE OF ENVIRONMENT MINERAL COMPOSITION ON THE INDICES OF WATER-SALT METABOLISM IN ESTABLISHED IN RYBINSK RESERVOIR, DREISSENA POLYMORPHA",Russian Journal of Biological Invasions,NA,1467,K+,mmol/L,NA,NA,5.0817,85.998
20,1,199,Yes,Carl,"Investigate zebra mussel response to varying wter Ca, Mg, K, Na levels: Ability to maintain internal concentrations in hemolymph and muscles",Eurasia,Russia,temperate (cold),Lab,aquaria,invasiveness/osmoregulation,K (as component of seawater solution),Yaroslavl Oblast,Rybinsk Reservoir,Mollusk,Mollusca,Dreissena polymorpha,Individual,muscle concentrations K,body tissue diagnostics,Body condition/Diagnostics,who knows (positive),3.3,9.5,Adult,mmol/L,NA,0.0015,0.88,mmol K/L,chronic,14,positive,ANOVA,3.3,9.5,NA,NA,NA,NA,NA,NA,p<0.05,"Hemolymph K = 0.24, 0.65, 0.6, 0.73, 0.97 mmol/L @ Water K = 0.0015, 0.05, 0.05, 0.1, 0.88 mmol/L, respectively (also data for muscle K)",NA,NA,constant,5,1,6 - 14 (varies),20,"Na, K, Ca, and Mg treatments applied together",D. Polymorpha unable to maintain internal K concentrations (and unlikley to survive)when water K concentrations are ≤0.0015 or ≥ 0.88 mmol/L,V. I. Martemyanov,2011,"INFLUENCE OF ENVIRONMENT MINERAL COMPOSITION ON THE INDICES OF WATER-SALT METABOLISM IN ESTABLISHED IN RYBINSK RESERVOIR, DREISSENA POLYMORPHA",Russian Journal of Biological Invasions,Methods are hard to understand,1468,K+,mmol/L,NA,NA,0.058635,34.3992
21,1,199,Yes,Carl,Investigate response by 4 bivalves (3 native + zebra mussel) to water K levels,Eurasia,Russia,temperate (cold),Lab,aquaria,invasiveness/osmoregulation,potassium,Yaroslavl Oblast,Rybinsk Reservoir,Mollusk,Mollusca,Anodonta piscinalis,Individual,Muscle concentrations Mg,body tissue diagnostics,Body condition/Diagnostics,who knows (positive),13.8,20.6,Adult,mmol/kg wet weight,0.13,0.13,2.2,mmol K/L,chronic,14,positive,ANOVA,13.8,20.6,NA,NA,NA,NA,NA,NA,NA,Raising water K+ from 0.13 to 0.9 mmol/L caused muscle Mg to increase from 28.9 to 53.5 mmol/kg. Raising K+ still further to 2.2 mmol/L caused muscle Mg to decrease to 26.3 mmol/kg,NA,NA,constant,3,1,8,20,Muscle concentrations did not differ statistically among treatment levels (p<0.05),"In comparison to aboriginal species, D. polymorpha is more sensitive to the environmental potassium concentration",V. I. Martemyanov,2011,"INFLUENCE OF ENVIRONMENT MINERAL COMPOSITION ON THE INDICES OF WATER-SALT METABOLISM IN ESTABLISHED IN RYBINSK RESERVOIR, DREISSENA POLYMORPHA",Russian Journal of Biological Invasions,NA,1469,K+,mmol/L,NA,NA,5.0817,85.998
